,#,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
0,1,Grass,Poison,253,45,49,49,65,65,45,1,False
1,2,Grass,Poison,325,60,62,63,80,80,60,1,False
2,3,Grass,Poison,425,80,82,83,100,100,80,1,False
3,3,Grass,Poison,505,80,100,123,122,120,80,1,False
4,4,Fire,,259,39,52,43,60,50,65,1,False
5,5,Fire,,340,58,64,58,80,65,80,1,False
6,6,Fire,Flying,449,78,84,78,109,85,100,1,False
7,6,Fire,Dragon,549,78,130,111,130,85,100,1,False
8,6,Fire,Flying,519,78,104,78,159,115,100,1,False
9,7,Water,,250,44,48,65,50,64,43,1,False
10,8,Water,,325,59,63,80,65,80,58,1,False
11,9,Water,,425,79,83,100,85,105,78,1,False
12,9,Water,,515,79,103,120,135,115,78,1,False
13,10,Bug,,175,45,30,35,20,20,45,1,False
14,11,Bug,,180,50,20,55,25,25,30,1,False
15,12,Bug,Flying,315,60,45,50,90,80,70,1,False
16,13,Bug,Poison,175,40,35,30,20,20,50,1,False
17,14,Bug,Poison,180,45,25,50,25,25,35,1,False
18,15,Bug,Poison,315,65,90,40,45,80,75,1,False
19,15,Bug,Poison,415,65,150,40,15,80,145,1,False
20,16,Normal,Flying,216,40,45,40,35,35,56,1,False
21,17,Normal,Flying,299,63,60,55,50,50,71,1,False
22,18,Normal,Flying,409,83,80,75,70,70,101,1,False
23,18,Normal,Flying,499,83,80,80,135,80,121,1,False
24,19,Normal,,218,30,56,35,25,35,72,1,False
25,20,Normal,,343,55,81,60,50,70,97,1,False
26,21,Normal,Flying,231,40,60,30,31,31,70,1,False
27,22,Normal,Flying,381,65,90,65,61,61,100,1,False
28,23,Poison,,234,35,60,44,40,54,55,1,False
29,24,Poison,,359,60,85,69,65,79,80,1,False
30,25,Electric,,270,35,55,40,50,50,90,1,False
31,26,Electric,,405,60,90,55,90,80,110,1,False
32,27,Ground,,270,50,75,85,20,30,40,1,False
33,28,Ground,,395,75,100,110,45,55,65,1,False
34,29,Poison,,235,55,47,52,40,40,41,1,False
35,30,Poison,,310,70,62,67,55,55,56,1,False
36,31,Poison,Ground,420,90,92,87,75,85,76,1,False
37,32,Poison,,233,46,57,40,40,40,50,1,False
38,33,Poison,,310,61,72,57,55,55,65,1,False
39,34,Poison,Ground,430,81,102,77,85,75,85,1,False
40,35,Fairy,,258,70,45,48,60,65,35,1,False
41,36,Fairy,,393,95,70,73,95,90,60,1,False
42,37,Fire,,234,38,41,40,50,65,65,1,False
43,38,Fire,,405,73,76,75,81,100,100,1,False
44,39,Normal,Fairy,245,115,45,20,45,25,20,1,False
45,40,Normal,Fairy,385,140,70,45,85,50,45,1,False
46,41,Poison,Flying,205,40,45,35,30,40,55,1,False
47,42,Poison,Flying,380,75,80,70,65,75,90,1,False
48,43,Grass,Poison,255,45,50,55,75,65,30,1,False
49,44,Grass,Poison,320,60,65,70,85,75,40,1,False
50,45,Grass,Poison,400,75,80,85,110,90,50,1,False
51,46,Bug,Grass,230,35,70,55,45,55,25,1,False
52,47,Bug,Grass,325,60,95,80,60,80,30,1,False
53,48,Bug,Poison,250,60,55,50,40,55,45,1,False
54,49,Bug,Poison,375,70,65,60,90,75,90,1,False
55,50,Ground,,220,10,55,25,35,45,95,1,False
56,51,Ground,,335,35,80,50,50,70,120,1,False
